key,time,commitTime,PythonfileNum,pythonFile
#1579,2021-08-24 19:11:38,2021-08-25 00:41:38,2,"['scripts/processing/__main__.py', 'scripts/processing/clean_tok_corpus.py']"
#1573,2021-05-21 00:46:53,2021-05-20 17:46:52,2,"['docs/conf.py', 'src/gluonnlp/attention_cell.py']"
#1547,2021-04-14 23:14:38,2021-04-14 16:14:38,3,"['scripts/benchmarks/benchmark_utils.py', 'setup.py', 'tests/test_models.py']"
#1540,2021-03-19 19:40:25,2021-03-19 19:40:25,12,"['scripts/pretraining/torch/bert/prepare_quickthought.py', 'scripts/pretraining/torch/bert/run_pretraining.py', 'setup.py', 'src/gluonnlp/torch/__init__.py', 'src/gluonnlp/torch/data/__init__.py', 'src/gluonnlp/torch/data/batchify.py', 'src/gluonnlp/torch/models/bert.py', 'src/gluonnlp/torch/optimizers/__init__.py', 'src/gluonnlp/torch/optimizers/fused_lans.py', 'src/gluonnlp/torch/optimizers/schedules.py', 'src/gluonnlp/utils/__init__.py', 'src/gluonnlp/utils/shm.py']"
#1532,2021-02-26 17:34:19,2021-02-26 17:34:18,14,"['scripts/conversion_toolkits/convert_tf_hub_model.py', 'src/gluonnlp/__init__.py', 'src/gluonnlp/base.py', 'src/gluonnlp/torch/__init__.py', 'src/gluonnlp/torch/attention_cell.py', 'src/gluonnlp/torch/layers.py', 'src/gluonnlp/torch/models/__init__.py', 'src/gluonnlp/torch/models/bert.py', 'src/gluonnlp/torch/models/transformer.py', 'src/gluonnlp/torch/utils.py', 'src/gluonnlp/utils/misc.py', 'tests/torch/test_attention_cell_torch.py', 'tests/torch/test_bert_torch.py', 'tests/torch/test_layers_torch.py']"
#1527,2021-02-22 00:13:11,2021-02-21 19:13:11,3,"['scripts/pretraining/convert_electra_pretrain_backbone.py', 'scripts/pretraining/pretraining_utils.py', 'scripts/pretraining/run_electra.py']"
#1520,2021-08-24 20:12:52,2021-08-25 00:41:38,2,"['scripts/processing/__main__.py', 'scripts/processing/clean_tok_corpus.py']"
#1517,2021-03-21 13:27:47,2021-03-21 21:27:47,3,"['scripts/classification/classification.py', 'scripts/classification/classification_utils.py', 'scripts/classification/train_classification.py']"
#1512,2021-02-02 02:48:59,2021-02-01 21:48:58,3,"['setup.py', 'src/gluonnlp/utils/misc.py', 'tests/test_utils_misc.py']"
#1509,2021-01-29 17:19:05,2021-01-30 01:19:04,2,"['scripts/benchmarks/benchmark_utils.py', 'setup.py']"
#1506,2021-01-29 05:45:45,2021-01-29 14:45:44,10,"['scripts/conversion_toolkits/convert_mt5.py', 'scripts/conversion_toolkits/convert_t5.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/mt5.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/models/transformer.py', 'tests/test_models.py', 'tests/test_models_mt5.py', 'tests/test_models_t5.py']"
#1504,2021-01-26 13:11:19,2021-01-26 22:11:18,9,"['scripts/conversion_toolkits/convert_t5.py', 'scripts/machine_translation/evaluate_transformer.py', 'scripts/machine_translation/train_transformer.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/sequence_sampler.py', 'tests/test_data_tokenizers.py', 'tests/test_models_t5.py', 'tests/test_models_transformer.py']"
#1502,2021-01-23 07:34:15,2021-01-22 23:34:14,3,"['src/gluonnlp/utils/misc.py', 'src/gluonnlp/utils/tvm_utils.py', 'tests/test_models.py']"
#1500,2021-01-29 19:04:51,2021-01-30 03:04:50,2,"['scripts/pretraining/bert/create_pretraining_data.py', 'scripts/pretraining/bert/run_pretraining.py']"
#1498,2021-01-21 15:19:44,2021-01-21 23:19:43,5,"['src/gluonnlp/attention_cell.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/utils/testing.py', 'tests/test_models.py', 'tests/test_models_t5.py']"
#1491,2021-01-18 23:50:22,2021-01-18 18:50:21,2,"['scripts/pretraining/pretraining_utils.py', 'scripts/pretraining/run_electra.py']"
#1490,2021-08-24 19:11:39,2021-08-25 00:41:38,2,"['scripts/processing/__main__.py', 'scripts/processing/clean_tok_corpus.py']"
#1489,2021-01-18 23:50:06,2021-01-18 18:50:05,7,"['scripts/datasets/machine_translation/prepare_wmt.py', 'scripts/datasets/pretrain_corpus/prepare_openwebtext.py', 'scripts/datasets/pretrain_corpus/prepare_wikipedia.py', 'scripts/pretraining/data_preprocessing.py', 'scripts/processing/apply_subword.py', 'scripts/processing/clean_tok_mono_corpus.py', 'scripts/processing/clean_tok_para_corpus.py']"
#1482,2021-01-19 07:15:31,2021-01-19 15:15:30,10,"['scripts/conversion_toolkits/convert_t5.py', 'setup.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/op.py', 'tests/test_data_tokenizers.py', 'tests/test_models.py', 'tests/test_models_t5.py']"
#1476,2021-01-10 16:44:55,2021-01-10 17:44:54,4,"['tests/test_models_albert.py', 'tests/test_models_bert.py', 'tests/test_models_mobilebert.py', 'tests/test_models_roberta.py']"
#1474,2021-01-10 16:53:15,2021-01-11 00:53:14,2,"['src/gluonnlp/data/tokenizers/sentencepiece.py', 'tests/test_data_tokenizers.py']"
#1470,2021-01-08 19:29:37,2021-01-09 03:29:36,2,"['src/gluonnlp/op.py', 'tests/test_layers.py']"
#1467,2021-01-07 21:10:29,2021-01-07 22:10:28,5,"['setup.py', 'src/gluonnlp/base.py', 'src/gluonnlp/utils/lazy_imports.py', 'src/gluonnlp/utils/misc.py', 'tests/test_utils_misc.py']"
#1466,2021-01-07 19:00:42,2021-01-07 14:00:41,3,"['scripts/conversion_toolkits/convert_fairseq_bart.py', 'scripts/conversion_toolkits/convert_fairseq_roberta.py', 'scripts/conversion_toolkits/convert_fairseq_xlmr.py']"
#1460,2020-12-18 21:29:58,2020-12-18 13:29:57,2,"['scripts/processing/learn_subword.py', 'tests/process_cli/test_learn_apply_subword.py']"
#1457,2020-12-10 23:55:43,2020-12-10 15:55:42,3,"['src/gluonnlp/__init__.py', 'src/gluonnlp/attention_cell.py', 'tests/test_attention_cell.py']"
#1452,2021-01-21 22:29:46,2021-01-22 06:29:45,7,"['scripts/datasets/pretrain_corpus/prepare_bookcorpus.py', 'scripts/datasets/pretrain_corpus/prepare_wikipedia.py', 'scripts/pretraining/bert/covert_bookcorpus_format.py', 'scripts/pretraining/bert/create_pretraining_data.py', 'scripts/pretraining/bert/run_pretraining.py', 'scripts/processing/segment_sentences.py', 'src/gluonnlp/utils/misc.py']"
